epoch,acc,loss,lr,val_acc,val_loss
0,0.4942763368555876,1.7957968482824613,0.001,0.531,1.6915753147125243
1,0.6107708933717579,1.3860247237079997,0.001,0.6309,1.3134604080200196
2,0.6573406980467499,1.2352886227816295,0.001,0.6636,1.2157063462257385
3,0.6881604226705091,1.1359840210072703,0.001,0.7113,1.067594829750061
4,0.708713576689081,1.078782756130855,0.001,0.7287,1.0114856443405151
5,0.7236231187960295,1.0288421840496718,0.001,0.7215,1.0509133493423461
6,0.7373318924111432,0.9950939398944817,0.001,0.7213,1.047363252067566
7,0.7509806276016651,0.9656237305603919,0.001,0.7521,0.9576633320808411
8,0.7600464297150176,0.9364054260290551,0.001,0.7647,0.9310705088615417
9,0.7648695164905539,0.9197184828050695,0.001,0.7509,0.9649856557846069
10,0.7704931155939801,0.9009040935162432,0.001,0.7578,0.9296788376808166
11,0.7786583413384566,0.8838222519236042,0.001,0.7761,0.8957563040733337
12,0.7836615433877682,0.8702722619712028,0.001,0.7887,0.8646790131568909
13,0.7864032981107909,0.8563585630449545,0.001,0.7605,0.9335019268035889
14,0.7912664105027217,0.8508683557011094,0.001,0.7656,0.9148585691452026
15,0.7950488312520013,0.8374178316819908,0.001,0.7786,0.8987302626609802
16,0.7985310598783222,0.8337766737118005,0.001,0.7675,0.9202959266662598
17,0.7999719820685238,0.827084867934405,0.001,0.7683,0.9201846538543701
18,0.84127841818764,0.6981296307606228,0.0003162278,0.8289,0.7335692684173584
19,0.8507644892731349,0.6538641544114386,0.0003162278,0.8375,0.7071484947204589
20,0.8558677553634326,0.6296949273227614,0.0003162278,0.8335,0.7048361172676086
21,0.8641330451488953,0.6034528159805113,0.0003162278,0.8288,0.7079143018722535
22,0.864433237271854,0.5971900924367474,0.0003162278,0.8282,0.701828515625
23,0.8686159141850784,0.5783544817567826,0.0003162278,0.8184,0.7237115345954895
24,0.8711975664425232,0.5696222753888172,0.0003162278,0.8291,0.7011057718276977
25,0.8741194364393212,0.558783351325317,0.0003162278,0.837,0.6780059911251068
26,0.8754803073967339,0.5484476580170916,0.0003162278,0.8342,0.7092959235191345
27,0.8786223182837015,0.5415360674887103,0.0003162278,0.837,0.680153519821167
28,0.8797430355427474,0.5349547133932807,0.0003162278,0.8318,0.6836372560501098
29,0.8786823567082933,0.5321485265073126,0.0003162278,0.8336,0.6828312876701355
30,0.8819044188280499,0.5236187139039921,0.0003162278,0.8301,0.6977512558460236
31,0.8996958053154018,0.46806281651398557,0.000100000005,0.8465,0.646990448665619
32,0.9073607108549472,0.44681760109543533,0.000100000005,0.8542,0.6332182460784912
33,0.9101424911943644,0.43661312235497224,0.000100000005,0.8497,0.6418867713928222
34,0.9110630803714377,0.4327607117438217,0.000100000005,0.8481,0.6438179904937744
35,0.9119836695485111,0.42738804034113387,0.000100000005,0.8487,0.6422333760738372
36,0.9155259365994236,0.4133175031863227,0.000100000005,0.8475,0.655141895198822
37,0.9165666026256805,0.4121832910864314,0.000100000005,0.8438,0.6584567183494567
38,0.9239956786171575,0.3918523904265271,3.1622778e-05,0.8523,0.6370855758666992
39,0.9270499679692504,0.37940985568626656,3.1622778e-05,0.8543,0.6393251806259155
40,0.925552353506244,0.3816006236777945,3.1622778e-05,0.8566,0.6351852969169617
41,0.9272734550112072,0.38018201094501264,3.1622778e-05,0.8557,0.6341357865810394
42,0.9287944284341979,0.3729398268329536,3.1622778e-05,0.8542,0.6378524803161622
